,availability,location,bhk,total_sqft,bath,price,total_sqftbybhk
106,1,7th Phase JP Nagar,2.0,980.0,2.0,69.0,490.0
107,1,7th Phase JP Nagar,2.0,1180.0,2.0,72.0,590.0
111,1,7th Phase JP Nagar,3.0,1400.0,3.0,115.0,466.6666666666667
112,1,7th Phase JP Nagar,2.0,1270.0,2.0,83.0,635.0
114,0,7th Phase JP Nagar,4.0,2503.0,4.0,188.0,625.75
115,1,7th Phase JP Nagar,3.0,2200.0,3.0,190.0,733.3333333333334
118,1,7th Phase JP Nagar,3.0,1575.0,2.0,110.0,525.0
119,1,7th Phase JP Nagar,3.0,1850.0,3.0,140.0,616.6666666666666
120,1,7th Phase JP Nagar,3.0,1575.0,2.0,120.0,525.0
121,1,7th Phase JP Nagar,3.0,1850.0,3.0,150.0,616.6666666666666
122,1,7th Phase JP Nagar,3.0,1680.0,3.0,120.0,560.0
123,1,7th Phase JP Nagar,2.0,1175.0,2.0,82.5,587.5
126,1,7th Phase JP Nagar,2.0,1215.0,2.0,90.0,607.5
127,1,7th Phase JP Nagar,2.0,1050.0,2.0,75.0,525.0
128,1,7th Phase JP Nagar,3.0,1300.0,3.0,89.13,433.3333333333333
129,1,7th Phase JP Nagar,2.0,1130.0,2.0,73.0,565.0
130,1,7th Phase JP Nagar,3.0,1450.0,3.0,100.0,483.3333333333333
132,1,7th Phase JP Nagar,2.0,1050.0,2.0,50.0,525.0
133,1,7th Phase JP Nagar,2.0,1275.0,2.0,87.0,637.5
135,1,7th Phase JP Nagar,3.0,1650.0,3.0,110.0,550.0
136,1,7th Phase JP Nagar,2.0,850.0,2.0,42.0,425.0
137,1,7th Phase JP Nagar,3.0,1680.0,3.0,117.0,560.0
138,1,7th Phase JP Nagar,3.0,1850.0,3.0,150.0,616.6666666666666
139,1,7th Phase JP Nagar,2.0,1236.0,2.0,61.33,618.0
140,1,7th Phase JP Nagar,2.0,1000.0,2.0,53.0,500.0
141,1,7th Phase JP Nagar,3.0,1680.0,3.0,125.0,560.0
142,1,7th Phase JP Nagar,3.0,1675.0,2.0,135.0,558.3333333333334
143,0,7th Phase JP Nagar,2.0,1187.0,2.0,59.0,593.5
144,1,7th Phase JP Nagar,3.0,1850.0,3.0,155.0,616.6666666666666
145,1,7th Phase JP Nagar,2.0,1000.0,2.0,61.0,500.0
146,1,7th Phase JP Nagar,3.0,1460.0,2.0,100.0,486.6666666666667
147,1,7th Phase JP Nagar,3.0,1650.0,3.0,110.0,550.0
148,1,7th Phase JP Nagar,2.0,1200.0,2.0,62.5,600.0
149,1,7th Phase JP Nagar,2.0,1000.0,2.0,70.65,500.0
150,1,7th Phase JP Nagar,2.0,1080.0,2.0,75.0,540.0
152,1,7th Phase JP Nagar,3.0,1680.0,3.0,125.0,560.0
153,1,7th Phase JP Nagar,3.0,1460.0,2.0,97.0,486.6666666666667
154,1,7th Phase JP Nagar,2.0,1120.0,2.0,65.0,560.0
155,1,7th Phase JP Nagar,2.0,1100.0,3.0,60.0,550.0
156,1,7th Phase JP Nagar,3.0,1790.0,3.0,120.0,596.6666666666666
157,1,7th Phase JP Nagar,3.0,1680.0,3.0,117.0,560.0
158,1,7th Phase JP Nagar,2.0,1050.0,2.0,77.0,525.0
159,1,7th Phase JP Nagar,2.0,1050.0,2.0,75.0,525.0
160,1,7th Phase JP Nagar,2.0,1040.0,2.0,75.0,520.0
161,1,7th Phase JP Nagar,3.0,1400.0,2.0,95.0,466.6666666666667
162,1,7th Phase JP Nagar,3.0,1800.0,3.0,130.0,600.0
163,1,7th Phase JP Nagar,2.0,1050.0,2.0,68.0,525.0
164,1,7th Phase JP Nagar,2.0,1000.0,2.0,60.0,500.0
165,1,7th Phase JP Nagar,3.0,1680.0,3.0,125.0,560.0
166,1,7th Phase JP Nagar,2.0,1050.0,2.0,77.47,525.0
167,1,7th Phase JP Nagar,2.0,1270.0,2.0,80.0,635.0
169,1,7th Phase JP Nagar,3.0,1680.0,3.0,122.0,560.0
170,1,7th Phase JP Nagar,2.0,1130.0,2.0,85.0,565.0
171,1,7th Phase JP Nagar,3.0,1680.0,3.0,130.0,560.0
172,1,7th Phase JP Nagar,2.0,980.0,2.0,77.44,490.0
173,1,7th Phase JP Nagar,3.0,1680.0,3.0,112.0,560.0
175,1,7th Phase JP Nagar,3.0,2095.0,3.0,150.0,698.3333333333334
176,0,7th Phase JP Nagar,3.0,1976.0,3.0,145.0,658.6666666666666
177,1,7th Phase JP Nagar,3.0,1600.0,2.0,110.0,533.3333333333334
178,1,7th Phase JP Nagar,3.0,1765.0,3.0,118.0,588.3333333333334
179,1,7th Phase JP Nagar,3.0,1275.0,2.0,88.0,425.0
180,1,7th Phase JP Nagar,3.0,1450.0,2.0,102.0,483.3333333333333
181,1,7th Phase JP Nagar,3.0,1575.0,2.0,110.0,525.0
183,1,7th Phase JP Nagar,1.0,750.0,1.0,47.0,750.0
184,1,7th Phase JP Nagar,2.0,990.0,2.0,50.0,495.0
185,1,7th Phase JP Nagar,1.0,1000.0,1.0,60.0,1000.0
186,1,7th Phase JP Nagar,2.0,1080.0,2.0,51.0,540.0
188,1,7th Phase JP Nagar,3.0,1430.0,2.0,102.0,476.6666666666667
189,1,7th Phase JP Nagar,2.0,1128.0,2.0,60.0,564.0
190,1,7th Phase JP Nagar,2.0,1140.0,2.0,57.0,570.0
191,1,7th Phase JP Nagar,3.0,1420.0,3.0,90.0,473.3333333333333
192,1,7th Phase JP Nagar,2.0,1530.0,2.0,108.0,765.0
193,0,8th Phase JP Nagar,2.0,1073.5,2.0,54.005,536.75
194,0,8th Phase JP Nagar,1.0,451.0,1.0,29.9,451.0
196,1,8th Phase JP Nagar,2.0,1062.0,2.0,42.47,531.0
198,0,8th Phase JP Nagar,3.0,1455.0,3.0,73.31,485.0
199,1,8th Phase JP Nagar,2.0,871.0,2.0,55.0,435.5
200,1,8th Phase JP Nagar,2.0,1098.0,2.0,43.91,549.0
201,1,8th Phase JP Nagar,3.0,1800.0,3.0,80.0,600.0
202,1,8th Phase JP Nagar,4.0,2700.0,4.0,130.0,675.0
203,0,8th Phase JP Nagar,2.0,1080.0,2.0,38.0,540.0
204,0,8th Phase JP Nagar,2.0,1059.0,2.0,34.5,529.5
205,0,8th Phase JP Nagar,2.0,1080.0,2.0,35.0,540.0
207,1,8th Phase JP Nagar,2.0,1062.0,2.0,42.47,531.0
208,0,8th Phase JP Nagar,1.0,500.0,1.0,31.0,500.0
209,0,8th Phase JP Nagar,2.0,1100.0,2.0,35.0,550.0
210,1,8th Phase JP Nagar,4.0,2100.0,4.0,92.0,525.0
211,1,8th Phase JP Nagar,2.0,1035.0,2.0,39.33,517.5
212,1,8th Phase JP Nagar,2.0,909.0,2.0,40.9,454.5
213,0,8th Phase JP Nagar,3.0,1431.5,3.0,72.02,477.1666666666667
214,1,8th Phase JP Nagar,3.0,1900.0,4.0,90.0,633.3333333333334
215,0,8th Phase JP Nagar,1.0,500.0,1.0,30.0,500.0
216,0,8th Phase JP Nagar,2.0,1125.0,2.0,36.94,562.5
217,1,8th Phase JP Nagar,2.0,1100.0,2.0,35.0,550.0
218,1,8th Phase JP Nagar,2.0,1089.0,2.0,43.55,544.5
220,1,8th Phase JP Nagar,3.0,1504.0,2.0,83.0,501.3333333333333
221,1,8th Phase JP Nagar,4.0,2600.0,4.0,115.0,650.0
223,1,8th Phase JP Nagar,2.0,1089.0,2.0,43.55,544.5
225,1,8th Phase JP Nagar,2.0,1513.0,2.0,62.0,756.5
226,1,8th Phase JP Nagar,2.0,1298.0,2.0,59.0,649.0
227,1,8th Phase JP Nagar,2.0,1006.0,2.0,44.0,503.0
228,0,8th Phase JP Nagar,1.0,500.0,1.0,33.0,500.0
229,1,8th Phase JP Nagar,2.0,1160.0,2.0,95.0,580.0
230,0,8th Phase JP Nagar,2.0,1245.0,2.0,59.0,622.5
231,1,8th Phase JP Nagar,2.0,1510.0,2.0,80.0,755.0
232,1,8th Phase JP Nagar,3.0,3300.0,3.0,165.0,1100.0
233,1,8th Phase JP Nagar,5.0,1730.0,5.0,75.0,346.0
236,0,8th Phase JP Nagar,2.0,1046.0,2.0,48.0,523.0
238,0,8th Phase JP Nagar,3.0,1408.0,3.0,80.0,469.3333333333333
240,1,9th Phase JP Nagar,2.0,1005.0,2.0,50.0,502.5
242,0,9th Phase JP Nagar,2.0,1100.0,2.0,65.0,550.0
243,0,9th Phase JP Nagar,2.0,1080.0,2.0,37.0,540.0
244,1,9th Phase JP Nagar,2.0,1035.0,2.0,45.0,517.5
245,1,9th Phase JP Nagar,4.0,5000.0,4.0,290.0,1250.0
246,1,9th Phase JP Nagar,2.0,1164.0,2.0,56.0,582.0
247,1,9th Phase JP Nagar,2.0,1005.0,2.0,42.0,502.5
248,0,9th Phase JP Nagar,2.0,1127.0,2.0,50.0,563.5
249,1,9th Phase JP Nagar,2.0,1005.0,2.0,43.0,502.5
250,1,9th Phase JP Nagar,2.0,835.0,2.0,37.0,417.5
251,0,9th Phase JP Nagar,2.0,1050.0,2.0,39.0,525.0
252,1,9th Phase JP Nagar,2.0,660.0,2.0,27.0,330.0
253,1,9th Phase JP Nagar,1.0,600.0,1.0,20.0,600.0
254,0,9th Phase JP Nagar,2.0,1466.0,2.0,71.0,733.0
255,1,9th Phase JP Nagar,3.0,1890.0,2.0,93.0,630.0
256,0,9th Phase JP Nagar,2.0,1079.0,2.0,60.0,539.5
257,0,9th Phase JP Nagar,2.0,1480.0,2.0,80.0,740.0
258,1,9th Phase JP Nagar,2.0,1200.0,2.0,80.0,600.0
259,1,9th Phase JP Nagar,2.0,905.0,2.0,32.0,452.5
260,0,9th Phase JP Nagar,2.0,1073.0,2.0,52.36,536.5
261,1,9th Phase JP Nagar,3.0,1719.3,2.0,88.0,573.1
262,0,9th Phase JP Nagar,3.0,1780.0,3.0,88.0,593.3333333333334
264,0,9th Phase JP Nagar,3.0,1522.0,3.0,90.0,507.3333333333333
267,1,9th Phase JP Nagar,2.0,890.0,2.0,45.0,445.0
269,1,9th Phase JP Nagar,4.0,5000.0,4.0,300.0,1250.0
271,0,9th Phase JP Nagar,2.0,1050.0,2.0,35.0,525.0
272,1,9th Phase JP Nagar,2.0,1331.95,2.0,69.0,665.975
273,1,AECS Layout,2.0,1100.0,2.0,45.0,550.0
274,1,AECS Layout,2.0,1028.0,2.0,42.0,514.0
275,1,AECS Layout,2.0,1199.0,2.0,65.0,599.5
276,1,AECS Layout,2.0,1080.0,2.0,55.0,540.0
277,1,AECS Layout,2.0,1123.0,2.0,64.0,561.5
278,1,AECS Layout,2.0,1308.0,2.0,60.0,654.0
279,1,AECS Layout,2.0,1005.0,2.0,55.0,502.5
281,1,Abbigere,2.0,985.0,2.0,40.39,492.5
282,1,Abbigere,6.0,2200.0,6.0,68.0,366.6666666666667
283,1,Abbigere,1.0,765.0,2.0,30.0,765.0
284,0,Abbigere,2.0,880.0,2.0,35.0,440.0
285,1,Abbigere,2.0,795.0,2.0,32.54,397.5
286,1,Abbigere,2.0,1005.0,2.0,39.59,502.5
287,0,Abbigere,1.0,734.0,1.0,19.82,734.0
289,1,Abbigere,2.0,1020.0,2.0,41.82,510.0
290,1,Abbigere,2.0,985.0,2.0,40.39,492.5
291,1,Abbigere,6.0,2500.0,6.0,81.0,416.6666666666667
292,1,Abbigere,2.0,795.0,2.0,32.54,397.5
293,1,Abbigere,2.0,1130.0,2.0,46.33,565.0
294,1,Abbigere,2.0,795.0,1.0,32.6,397.5
295,1,Abbigere,8.0,3000.0,8.0,150.0,375.0
296,1,Abbigere,2.0,985.0,2.0,38.92,492.5
297,1,Abbigere,2.0,1000.0,2.0,41.0,500.0
298,1,Abbigere,2.0,995.0,2.0,40.8,497.5
299,1,Abbigere,2.0,1020.0,2.0,40.8,510.0
300,1,Akshaya Nagar,2.0,1388.0,2.0,57.0,694.0
301,1,Akshaya Nagar,2.0,1070.0,2.0,54.0,535.0
302,1,Akshaya Nagar,2.0,1280.0,2.0,58.0,640.0
303,1,Akshaya Nagar,3.0,1662.0,3.0,85.1,554.0
304,1,Akshaya Nagar,3.0,1897.0,3.0,120.0,632.3333333333334
305,1,Akshaya Nagar,3.0,1410.0,2.0,75.0,470.0
306,0,Akshaya Nagar,3.0,1360.0,2.0,85.0,453.3333333333333
308,1,Akshaya Nagar,3.0,1410.0,2.0,80.0,470.0
309,1,Akshaya Nagar,3.0,1662.0,3.0,85.0,554.0
310,1,Akshaya Nagar,3.0,1662.0,3.0,85.5,554.0
311,1,Akshaya Nagar,2.0,1280.0,2.0,60.0,640.0
312,1,Akshaya Nagar,3.0,1666.0,3.0,95.0,555.3333333333334
313,1,Akshaya Nagar,3.0,1575.0,3.0,90.0,525.0
314,1,Akshaya Nagar,3.0,1430.0,2.0,75.0,476.6666666666667
315,1,Akshaya Nagar,3.0,1419.0,2.0,73.0,473.0
316,1,Akshaya Nagar,2.0,1280.0,2.0,60.0,640.0
317,1,Akshaya Nagar,2.0,1200.0,2.0,50.0,600.0
318,0,Akshaya Nagar,2.0,1092.0,2.0,60.0,546.0
319,1,Akshaya Nagar,3.0,1690.0,3.0,85.0,563.3333333333334
321,1,Akshaya Nagar,3.0,1897.0,4.0,93.0,632.3333333333334
322,1,Akshaya Nagar,3.0,1884.0,3.0,98.0,628.0
323,1,Akshaya Nagar,2.0,1314.0,2.0,68.8,657.0
324,1,Akshaya Nagar,3.0,1690.0,3.0,85.0,563.3333333333334
325,1,Akshaya Nagar,2.0,1265.0,2.0,67.0,632.5
326,1,Akshaya Nagar,2.0,1126.0,2.0,55.0,563.0
328,1,Akshaya Nagar,3.0,1662.0,3.0,90.0,554.0
329,1,Akshaya Nagar,3.0,1420.0,2.0,75.0,473.3333333333333
330,1,Akshaya Nagar,3.0,1412.0,2.0,88.0,470.6666666666667
331,1,Akshaya Nagar,3.0,1434.0,3.0,84.0,478.0
332,1,Akshaya Nagar,3.0,1890.0,4.0,100.0,630.0
334,1,Akshaya Nagar,3.0,1419.0,2.0,87.0,473.0
335,1,Akshaya Nagar,2.0,1300.0,2.0,54.0,650.0
336,1,Akshaya Nagar,3.0,1690.0,3.0,85.0,563.3333333333334
337,1,Akshaya Nagar,2.0,1113.0,2.0,52.0,556.5
338,1,Akshaya Nagar,3.0,1820.0,4.0,95.0,606.6666666666666
339,1,Akshaya Nagar,2.0,1100.0,2.0,48.0,550.0
340,1,Akshaya Nagar,3.0,1896.0,3.0,102.0,632.0
341,1,Akshaya Nagar,2.0,1300.0,2.0,66.0,650.0
342,1,Akshaya Nagar,2.0,1225.0,2.0,68.0,612.5
343,1,Akshaya Nagar,2.0,1179.0,2.0,51.0,589.5
344,1,Akshaya Nagar,3.0,1421.0,2.0,73.0,473.6666666666667
345,1,Akshaya Nagar,3.0,1893.0,4.0,95.0,631.0
346,1,Akshaya Nagar,2.0,900.0,2.0,45.0,450.0
347,1,Ambalipura,2.0,1105.0,2.0,75.0,552.5
348,1,Ambalipura,3.0,1800.0,3.0,110.0,600.0
349,1,Ambalipura,2.0,1150.0,2.0,80.0,575.0
350,1,Ambalipura,2.0,1250.0,2.0,66.25,625.0
351,1,Ambalipura,2.0,1332.0,2.0,79.0,666.0
352,1,Ambalipura,3.0,1730.0,3.0,120.0,576.6666666666666
354,1,Ambalipura,2.0,1230.0,2.0,66.25,615.0
355,1,Ambalipura,2.0,1351.0,2.0,77.0,675.5
359,1,Ambalipura,2.0,1303.0,2.0,80.0,651.5
360,1,Ambalipura,3.0,1607.0,2.0,112.0,535.6666666666666
361,1,Ambalipura,1.0,770.0,1.0,43.82,770.0
362,1,Ambalipura,2.0,1700.0,2.0,76.0,850.0
363,1,Ambalipura,2.0,1060.0,2.0,58.5,530.0
364,1,Ambalipura,3.0,1650.0,3.0,100.0,550.0
365,1,Ambalipura,3.0,1607.0,2.0,112.0,535.6666666666666
366,1,Ambalipura,2.0,1198.0,2.0,80.0,599.0
367,1,Ambedkar Nagar,3.0,1935.0,4.0,130.0,645.0
368,1,Ambedkar Nagar,2.0,1424.0,2.0,90.0,712.0
369,1,Ambedkar Nagar,3.0,2225.0,4.0,169.0,741.6666666666666
371,1,Ambedkar Nagar,3.0,1850.0,4.0,139.0,616.6666666666666
372,1,Ambedkar Nagar,3.0,1936.0,4.0,126.0,645.3333333333334
374,1,Ambedkar Nagar,2.0,1424.0,2.0,90.0,712.0
376,1,Ambedkar Nagar,4.0,3530.0,4.0,290.0,882.5
377,1,Ambedkar Nagar,3.0,1856.0,3.0,120.0,618.6666666666666
378,1,Ambedkar Nagar,3.0,1852.0,3.0,130.0,617.3333333333334
379,1,Ambedkar Nagar,3.0,1850.0,4.0,120.0,616.6666666666666
380,1,Ambedkar Nagar,2.0,1367.0,2.0,86.0,683.5
381,0,Ambedkar Nagar,4.0,3565.0,4.0,255.0,891.25
382,1,Ambedkar Nagar,2.0,1409.0,2.0,95.0,704.5
384,1,Ambedkar Nagar,3.0,1921.0,4.0,129.0,640.3333333333334
386,1,Ambedkar Nagar,3.0,1935.0,4.0,125.0,645.0
387,1,Ambedkar Nagar,3.0,1852.0,4.0,122.0,617.3333333333334
389,1,Ambedkar Nagar,3.0,1852.0,3.0,125.0,617.3333333333334
390,1,Ambedkar Nagar,3.0,1850.0,4.0,121.0,616.6666666666666
391,1,Ambedkar Nagar,2.0,1425.0,2.0,94.0,712.5
393,1,Amruthahalli,2.0,900.0,2.0,40.0,450.0
394,1,Amruthahalli,2.0,1200.0,2.0,55.0,600.0
395,1,Amruthahalli,3.0,1900.0,3.0,135.0,633.3333333333334
396,1,Amruthahalli,2.0,924.0,2.0,45.0,462.0
397,1,Amruthahalli,2.0,900.0,2.0,60.0,450.0
398,1,Amruthahalli,2.0,1100.0,2.0,45.0,550.0
399,1,Amruthahalli,2.0,1200.0,2.0,55.0,600.0
403,1,Amruthahalli,3.0,1450.0,2.0,85.0,483.3333333333333
404,1,Amruthahalli,2.0,1200.0,2.0,55.0,600.0
405,1,Amruthahalli,2.0,1250.0,2.0,79.0,625.0
406,1,Amruthahalli,2.0,1190.0,2.0,50.0,595.0
407,1,Amruthahalli,2.0,1202.0,2.0,65.0,601.0
408,1,Amruthahalli,2.0,1340.0,2.0,75.0,670.0
409,1,Amruthahalli,3.0,2650.0,4.0,175.0,883.3333333333334
410,1,Amruthahalli,3.0,1450.0,2.0,90.0,483.3333333333333
411,1,Amruthahalli,2.0,1025.0,2.0,42.0,512.5
412,1,Amruthahalli,1.0,485.0,1.0,19.5,485.0
413,0,Anandapura,2.0,1167.0,2.0,43.76,583.5
414,0,Anandapura,2.0,1000.0,2.0,55.0,500.0
415,0,Anandapura,2.0,1141.0,2.0,42.79,570.5
417,1,Anandapura,2.0,1200.0,2.0,67.0,600.0
418,1,Anandapura,2.0,1200.0,2.0,58.0,600.0
419,1,Anandapura,2.0,1151.0,2.0,43.1,575.5
420,1,Anandapura,2.0,1141.0,2.0,42.75,570.5
421,1,Anandapura,2.0,900.0,2.0,48.0,450.0
422,1,Anandapura,4.0,1749.0,4.0,90.0,437.25
423,1,Anandapura,2.0,1151.0,2.0,42.9,575.5
425,1,Anandapura,2.0,1250.0,2.0,45.0,625.0
426,0,Anandapura,2.0,1151.0,2.0,43.16,575.5
427,1,Anandapura,2.0,1200.0,2.0,58.0,600.0
428,1,Anandapura,3.0,1200.0,2.0,66.0,400.0
429,1,Anandapura,3.0,1415.0,2.0,74.0,471.6666666666667
430,1,Anandapura,2.0,1200.0,2.0,50.0,600.0
431,1,Anandapura,2.0,1141.0,2.0,50.0,570.5
433,0,Ananth Nagar,1.0,500.0,1.0,14.0,500.0
434,1,Ananth Nagar,2.0,1100.0,2.0,31.5,550.0
435,0,Ananth Nagar,2.0,982.0,2.0,24.55,491.0
436,0,Ananth Nagar,1.0,500.0,2.0,14.0,500.0
437,0,Ananth Nagar,2.0,900.0,2.0,22.5,450.0
438,1,Ananth Nagar,2.0,908.0,2.0,26.0,454.0
439,1,Ananth Nagar,2.0,870.0,2.0,36.0,435.0
440,1,Ananth Nagar,2.0,937.0,2.0,35.0,468.5
441,1,Ananth Nagar,2.0,960.0,2.0,37.0,480.0
442,0,Ananth Nagar,1.0,500.0,1.0,14.0,500.0
443,0,Ananth Nagar,2.0,1000.0,2.0,29.7,500.0
444,1,Ananth Nagar,2.0,850.0,2.0,25.99,425.0
445,1,Ananth Nagar,2.0,902.0,2.0,25.26,451.0
446,1,Ananth Nagar,3.0,1470.0,3.0,54.0,490.0
